Name,Single_1,Double_1,Double_2,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_T,-0.350448,-0.582916,-0.488196,-0.045923862,1.704609139,-0.006254016,-0.518432777
b_eir_T,0.11681,0.158101,0.099162,0.068290907,-0.104882204,0.04633196,0.099278762
c_eir_T,-0.0034,-0.004398,-0.00237,-0.002190334,0.002182137,-0.001423491,-0.002760483
d_eir_T,-0.001226,-0.020335,0.019503,-0.01723332,-0.016728513,0.011872571,0.013988232
e_eir_T,0.000601,0.00108,0.00043,0.001038721,0.000954018,0.000481095,0.000435194
f_eir_T,-0.000467,-0.00064,-0.001097,-0.000199632,-0.000126467,-0.000516952,-0.000557202
a_EIR_FF,1.143487507,1.639108268,1.570774717,1,1,1,1
b_EIR_FF,-0.13943972,-0.998953996,-0.914152018,0,0,0,0
c_EIR_FF,-0.004047787,0.359845728,0.343377302,0,0,0,0
a_Qcap_T,1.55736,1.658788,1.472738,1.713985197,1.15285674,0.646199212,0.917789168
b_Qcap_T,-0.074448,-0.083453,-0.067222,-0.074616772,-0.024537305,0.021351323,-0.006032257
c_Qcap_T,0.003099,0.003424,0.00292,0.002974689,0.001766652,0.000659103,0.001363272
d_Qcap_T,0.00146,0.002433,0.000052,0.005776335,0.005860301,0.006938086,0.005325741
e_Qcap_T,-0.000041,-0.000045,-0.00003,-0.000103131,-0.00007724,-0.00006738,-0.00005658
f_Qcap_T,-0.000427,-0.000534,-0.000359,-0.000668885,-0.000664725,-0.000688108,-0.000638578
a_Qcap_FF,0.718664047,0.655239515,0.618281092,1,1,1,1
b_Qcap_FF,0.41797409,0.511655216,0.569060264,0,0,0,0
c_Qcap_FF,-0.136638137,-0.166894731,-0.187341356,0,0,0,0
min_Twb,13.88,13.88,13.88,13.88,13.88,13.88,13.88
max_Twb,23.88,23.88,23.88,23.88,23.88,23.88,23.88
min_Tdb,18.33,18.33,18.33,18.33,18.33,18.33,18.33
max_Tdb,51.66,51.66,51.66,51.66,51.66,51.66,51.66