Index,Location,State,Latitude,Longitude,Heating Design Temp,Heating Seasonal Temp,Cooling Design Temp,Cooling Seasonal Temp,Wdesign,Wseasonal,Windesign,Winseasonal,Design hout,Seasonal hout,Design hin,Seasonal hin
1,Adak,AK,51.883,-176.65,23,39,,,,,,,,,,
2,Annette,AK,55.05,-131.567,17,40,70,70,0.0084,0.0094,0.0073,0.0078,26,28,27,27
3,Bethel,AK,60.783,-161.833,-24,16,68,68,0.0078,0.0067,0.0071,0.0067,25,25,27,26
4,BigDelta,AK,64,-145.717,-39,8,75,75,0.0062,0.0073,0.0065,0.0069,25,26,26,26
5,Fairbanks,AK,64.817,-147.85,-31,2,79,79,0.0076,0.0067,0.007,0.0067,27,25,26,26
6,Gulkana,AK,62.15,-145.45,-39,11,75,75,0.0073,0.0061,0.0069,0.0065,26,25,26,26
7,Homer,AK,59.65,-151.483,4,30,63,63,0.0079,0.0094,0.0072,0.0078,24,27,27,27
8,Juneau,AK,58.35,-134.583,7,34,70,70,0.0084,0.0078,0.0074,0.0071,26,26,27,27
9,King Salmon,AK,58.683,-156.65,-19,21,66,66,0.0071,0.0102,0.0068,0.0081,24,29,26,28
10,Kodiak,AK,57.75,-152.5,11,36,64,64,0.0074,0.0115,0.007,0.0086,24,30,26,28
11,McGrath,AK,62.95,-155.6,-41,6,73,73,0.0066,0.007,0.0066,0.0068,25,25,26,26
12,Nome,AK,64.517,-165.45,-26,15,64,64,,,,,,,19,19
13,Yakutat,AK,59.517,-139.633,2,33,63,63,0.0077,0.0063,0.0071,0.0065,23,24,26,26
14,Birmingham,AL,33.567,-86.75,21,43,91,82,0.0151,0.0143,0.01,0.0097,39,35,30,29
15,Mobile,AL,30.633,-88.067,30,49,91,82,0.0167,0.0157,0.0107,0.0103,40,37,30,30
16,Montgomery,AL,32.3,-86.4,27,45,93,83,0.0147,0.015,0.0099,0.01,39,36,30,30
17,Fort Smith,AR,35.333,-94.367,19,39,95,85,0.0143,0.0148,0.0097,0.0099,39,37,29,30
18,Little Rock,AR,34.75,-92.233,21,40,95,84,0.0159,0.0159,0.0103,0.0103,40,38,30,30
19,Phoenix,AZ,33.45,-111.983,38,49,107,91,0.0085,0.0079,0.0074,0.0071,35,31,27,27
20,Prescott,AZ,34.65,-112.417,20,38,91,82,0.0044,0.0071,0.0058,0.0068,27,27,25,26
21,Tucson,AZ,32.133,-110.95,34,48,102,87,0.0044,0.0076,0.0057,0.007,29,29,25,26
22,Yuma,AZ,32.667,-114.6,44,52,109,92,0.0094,0.0091,0.0078,0.0076,37,32,27,27
23,Bakersfield,CA,35.433,-119.05,35,48,102,87,0.0082,0.0076,0.0073,0.007,34,29,27,26
24,Burbank,CA,34.2,-118.35,41,53,95,82,0.0085,0.0089,0.0074,0.0076,32,30,27,27
25,Dagget,CA,34.85,-116.8,32,47,106,90,0.006,0.0065,0.0064,0.0066,32,29,26,26
26,Fresno,CA,36.783,-119.717,32,47,100,88,0.0086,0.008,0.0074,0.0072,34,30,27,27
27,Long Beach,CA,33.833,-118.167,42,55,88,79,0.0088,0.0101,0.0075,0.008,31,30,27,28
28,Los Angeles,CA,33.933,-118.4,45,56,81,75,0.0092,0.0102,0.0077,0.0081,29,29,27,28
29,Point Mugu,CA,34.117,-119.117,41,54,79,75,0.0096,0.0091,0.0078,0.0077,29,28,27,27
30,Sacramento,CA,38.7,-121.583,33,48,97,86,0.0081,0.0086,0.0072,0.0074,32,30,27,27
31,San Diego,CA,32.817,-117.133,42,57,88,76,0.0101,0.0103,0.0081,0.0081,32,29,28,28
32,SanFrancisc,CA,37.617,-122.4,39,51,79,77,0.0073,0.0073,0.0069,0.0069,27,27,26,26
33,Santa Maria,CA,34.917,-120.467,35,49,82,77,0.0076,0.0071,0.007,0.0069,28,26,26,26
34,Colorado Springs,CO,38.817,-104.717,4,35,88,81,0.003,0.0072,0.0052,0.0069,24,27,24,26
35,Denver,CO,39.833,-104.65,3,33,90,82,0.0037,0.0061,0.0055,0.0064,26,26,25,26
36,Eagle,CO,39.65,-106.917,-7,28,86,80,0.0034,0.0069,0.0054,0.0068,24,27,25,26
37,GrandJunction,CO,39.133,-108.533,7,34,93,84,0.004,0.0059,0.0056,0.0064,27,27,25,26
38,Pueblo,CO,38.283,-104.5,5,32,95,84,0.0047,0.0069,0.0059,0.0067,28,28,25,26
39,Hartford,CT,41.933,-72.683,6,33,88,81,0.0129,0.0117,0.0092,0.0087,35,32,29,28
40,Washington,DC,38.91,-77.04,20,37,93,81,0.0147,0.0137,0.0099,0.0095,39,35,30,29
41,Wilmington,DE,39.667,-75.6,14,37,90,80,0.014,0.0129,0.0096,0.0091,37,33,29,29
42,Apalachicola,FL,29.73,-84.98,35,50,90,82,0.0188,0.0168,0.0115,0.0107,42,38,31,30
43,Daytona,FL,29.183,-81.067,37,51,90,80,0.0171,0.0159,0.0109,0.0104,40,37,31,30
44,Jacksonville,FL,30.5,-81.7,32,44,93,82,0.0163,0.0155,0.0105,0.0102,40,37,30,30
45,Miami,FL,25.817,-80.3,50,54,90,80,0.0171,0.016,0.0109,0.0104,40,37,31,30
46,Orlando,FL,28.433,-81.333,42,53,93,82,0.0163,0.0154,0.0105,0.0102,40,37,30,30
47,Tallahassee,FL,30.38,-84.37,28,46,93,81,0.0163,0.0154,0.0105,0.0102,40,36,30,30
48,Tampa,FL,27.967,-82.533,40,52,91,81,0.0167,0.0157,0.0107,0.0103,40,37,30,30
49,West PalmBeach,FL,26.683,-80.1,47,54,90,80,0.0171,0.0159,0.0109,0.0104,40,37,31,30
50,Augusta,GA,33.367,-81.967,25,43,93,82,0.0147,0.0146,0.0099,0.0098,39,36,30,29
51,Atlanta,GA,33.633,-84.433,23,43,91,80,0.0136,0.014,0.0094,0.0096,37,35,29,29
52,Macon,GA,32.683,-83.65,27,44,93,83,0.0147,0.0143,0.0099,0.0097,39,35,30,29
53,Savanah,GA,32.117,-81.2,29,45,93,81,0.0163,0.0152,0.0105,0.0101,40,36,30,30
54,Barberspoint,HI,21.317,-158.067,61,62,90,78,0.014,0.0142,0.0096,0.0097,37,34,29,29
55,Hilo,HI,19.717,-155.05,63,64,84,77,0.0152,0.0144,0.0101,0.0098,37,34,30,29
56,Honolulu,HI,21.317,-157.933,63,64,88,79,0.0144,0.0132,0.0098,0.0093,37,33,29,29
57,Lihue,HI,21.983,-159.333,62,63,84,77,0.0168,0.0146,0.0107,0.0099,39,35,30,30
58,Burlington,IA,40.783,-91.117,1,31,91,80,0.0151,0.0142,0.01,0.0097,39,35,30,29
59,DesMoines,IA,41.533,-93.667,-4,29,90,81,0.014,0.0129,0.0096,0.0091,37,33,29,29
60,MasonCity,IA,43.15,-93.333,-10,26,88,80,0.0144,0.0132,0.0098,0.0093,37,34,29,29
61,Sioux City,IA,42.383,-96.383,-6,27,90,82,0.014,0.0145,0.0096,0.0098,37,35,29,29
62,Boise,ID,43.62,-116.21,9,38,93,84,0.0052,0.0062,0.0061,0.0065,28,27,25,26
63,Lewiston,ID,46.367,-117.017,15,39,93,84,0.0064,0.0065,0.0065,0.0066,29,27,26,26
64,Pocatello,ID,42.917,-112.567,0,32,90,83,0.0048,0.0058,0.0059,0.0063,27,26,25,26
65,Chicago,IL,41.983,-87.917,3,33,90,81,0.014,0.0115,0.0096,0.0086,37,32,29,28
66,Moline,IL,41.467,-90.517,-3,31,90,81,0.014,0.0133,0.0096,0.0093,37,34,29,29
67,Springfield,IL,39.85,-89.683,2,33,91,81,0.0151,0.0131,0.01,0.0093,39,34,30,29
68,Evansville,IN,38.05,-87.533,9,37,91,81,0.0151,0.0137,0.01,0.0095,39,35,30,29
69,FortWayne,IN,41,-85.2,2,32,88,79,0.0144,0.0129,0.0098,0.0091,37,33,29,29
70,Indianapolis,IN,39.717,-86.267,3,33,88,80,0.0144,0.0131,0.0098,0.0092,37,34,29,29
71,South Bend,IN,41.7,-86.333,3,33,88,80,0.0129,0.0123,0.0092,0.0089,35,33,29,28
72,Dodge City,KS,37.767,-99.967,6,35,97,85,0.0094,0.0111,0.0078,0.0084,34,33,27,28
73,Goodland,KS,39.367,-101.7,2,33,93,85,0.0076,0.0095,0.007,0.0078,31,31,26,27
74,Kansas City,KS,39.1,-94.58,4,34,93,83,0.0147,0.0141,0.0099,0.0096,39,35,30,29
75,Topeka,KS,39.067,-95.633,4,32,93,82,0.0147,0.0145,0.0099,0.0098,39,36,30,29
76,Wichita,KS,37.65,-97.433,8,34,97,85,0.0123,0.0133,0.0089,0.0093,37,35,28,29
77,Lexington,KY,38.033,-84.6,10,36,88,80,0.0144,0.0138,0.0098,0.0095,37,34,29,29
78,Louisville,KY,38.183,-85.733,11,37,90,82,0.0155,0.0136,0.0102,0.0095,39,35,30,29
79,BatonRouge,LA,30.533,-91.15,30,48,91,82,0.0167,0.016,0.0107,0.0104,40,37,30,30
80,Lake Charles,LA,30.117,-93.233,32,48,91,82,0.0167,0.0164,0.0107,0.0105,40,38,30,30
81,Neworleans,LA,30,-90.25,39,49,91,81,0.0167,0.0162,0.0107,0.0105,40,37,30,30
82,Shreveport,LA,32.45,-93.817,26,46,95,83,0.0159,0.0155,0.0103,0.0102,40,37,30,30
83,Boston,MA,42.367,-71.017,12,37,88,80,0.0129,0.0111,0.0092,0.0084,35,31,29,28
84,Baltimore,MD,39.167,-76.683,15,37,91,81,0.0136,0.0133,0.0094,0.0093,37,34,29,29
85,Patuxent River,MD,38.3,-76.417,21,41,90,80,0.0155,0.0142,0.0102,0.0097,39,35,30,29
86,Bangor,ME,44.8,-68.817,-2,29,84,78,0.011,0.0101,0.0084,0.008,32,30,28,28
87,Caribou,ME,46.867,-68.033,-10,25,82,77,0.0101,0.0099,0.008,0.008,31,29,28,27
88,Portland,ME,43.65,-70.3,2,32,82,77,0.0127,0.0114,0.0091,0.0086,34,31,29,28
89,Alpena,MI,45.067,-83.583,-1,29,84,79,0.011,0.0119,0.0084,0.0088,32,32,28,28
90,Detroit,MI,42.4,-83,5,34,88,80,0.0129,0.0215,0.0092,0.0126,35,43,29,33
91,Flint,MI,42.967,-83.75,3,31,86,79,0.0133,0.0116,0.0093,0.0086,35,32,29,28
92,GrandRapids,MI,42.883,-85.517,5,32,86,80,0.0133,0.0121,0.0093,0.0088,35,32,29,28
93,Sault Saint Marie,MI,46.467,-84.35,-7,25,81,78,0.0118,0.0118,0.0087,0.0087,32,32,28,28
94,Traverse City,MI,44.733,-85.583,2,30,86,80,0.0119,0.0115,0.0088,0.0086,34,32,28,28
95,Duluth,MN,46.833,-92.217,-16,22,81,78,0.0105,0.0111,0.0082,0.0084,31,31,28,28
96,International Falls,MN,48.567,-93.4,-23,17,82,77,0.0101,0.0107,0.008,0.0083,31,30,28,28
97,Minneapolis,MN,44.883,-93.233,-11,24,88,81,0.0129,0.0125,0.0092,0.009,35,33,29,29
98,Rochester,MN,43.9,-92.5,-12,25,86,78,0.0133,0.0126,0.0093,0.009,35,33,29,29
99,Columbia,MO,38.817,-92.217,5,34,91,82,0.0151,0.0135,0.01,0.0094,39,34,30,29
100,Saint Louis,MO,38.75,-90.367,8,35,93,82,0.0147,0.0144,0.0099,0.0098,39,35,30,29
101,Springfield,MO,37.233,-93.383,9,37,91,81,0.0151,0.0147,0.01,0.0099,39,36,30,30
102,Jackson,MS,32.317,-90.083,25,48,93,81,0.0163,0.015,0.0105,0.01,40,36,30,30
103,Meridian,MS,32.333,-88.75,25,44,93,83,0.0163,0.0148,0.0105,0.0099,40,36,30,30
104,Billings,MT,45.8,-108.55,-7,29,90,82,0.006,0.0074,0.0064,0.007,28,28,26,26
105,Cut Bank,MT,48.6,-112.367,-16,26,84,79,0.0049,0.0067,0.006,0.0067,26,26,25,26
106,Glasgow,MT,48.217,-106.617,-17,22,90,83,0.006,0.0079,0.0064,0.0072,28,29,26,27
107,GreatFalls,MT,47.467,-111.383,-13,29,88,81,0.0052,0.0064,0.0061,0.0066,27,27,25,26
108,Helena,MT,46.6,-111.967,-10,29,88,82,0.0041,0.0058,0.0056,0.0063,26,26,25,26
109,Lewistown,MT,47.05,-109.45,-12,30,86,81,0.0056,0.0083,0.0062,0.0073,27,29,26,27
110,MilesCity,MT,46.433,-105.883,-12,24,93,84,0.0064,0.0068,0.0065,0.0067,29,28,26,26
111,Missoula,MT,46.917,-114.1,-1,33,88,82,0.0052,0.0064,0.0061,0.0066,27,27,25,26
112,Asheville,NC,35.433,-82.533,16,40,86,79,0.0133,0.0142,0.0093,0.0097,35,35,29,29
113,CapeHatteras,NC,35.267,-75.55,29,46,86,79,0.018,0.0165,0.0112,0.0106,40,37,31,30
114,Charlotte,NC,35.217,-80.95,23,41,91,81,0.0136,0.013,0.0094,0.0092,37,34,29,29
115,CherryPoint,NC,34.9,-76.883,28,45,93,80,0.018,0.0153,0.0112,0.0101,42,36,31,30
116,Greensboro,NC,36.1,-79.95,19,40,90,81,0.014,0.0134,0.0096,0.0094,37,34,29,29
117,Raleigh,NC,35.867,-78.783,20,40,90,81,0.0155,0.0145,0.0102,0.0098,39,35,30,29
118,Bismarck,ND,46.77,-100.77,-16,22,90,82,0.0084,0.0107,0.0074,0.0083,31,31,27,28
119,Fargo,ND,46.933,-96.817,-17,19,88,82,0.0115,0.012,0.0086,0.0088,34,33,28,28
120,Minot,ND,48.417,-101.35,-16,22,90,81,0.0097,0.0097,0.0079,0.0079,32,30,27,27
121,GrandIsland,NE,40.967,-98.317,-2,29,93,83,0.0117,0.0122,0.0087,0.0089,35,33,28,28
122,North Platte,NE,41.117,-100.667,-4,29,91,83,0.0107,0.0109,0.0083,0.0083,34,32,28,28
123,Omaha,NE,41.317,-95.9,-2,31,91,82,0.0151,0.0138,0.01,0.0095,39,35,30,29
124,Scottsbluff,NE,41.867,-103.6,-3,30,91,83,0.0068,0.0088,0.0067,0.0075,29,30,26,27
125,Concord,NH,43.2,-71.5,-2,29,86,81,0.0119,0.0117,0.0088,0.0087,34,32,28,28
126,Lakehurst,NJ,40.02,-74.31,13,37,88,81,0.0144,0.0131,0.0098,0.0092,37,34,29,29
127,Newark,NJ,40.717,-74.183,14,38,90,80,0.014,0.0117,0.0096,0.0087,37,32,29,28
128,Albuquerque,NM,35.04,-106.62,18,38,93,83,0.004,0.007,0.0056,0.0068,27,28,25,26
129,Clayton,NM,36.45,-103.15,9,36,91,80,0.0056,0.0088,0.0062,0.0075,28,29,26,27
130,Roswell,NM,33.3,-104.533,20,40,97,86,0.0055,0.0085,0.0062,0.0074,29,30,26,27
131,Truthandconsequenses,NM,33.233,-107.267,26,40,95,83,0.0036,0.0069,0.0054,0.0068,27,28,25,26
132,Tucumcari,NM,35.183,-103.6,15,38,95,85,0.0059,0.0095,0.0064,0.0078,29,31,26,27
133,Elko,NV,40.833,-115.8,1,32,93,84,0.0029,0.0052,0.0052,0.0061,26,26,24,25
134,Ely,NV,39.3,-114.85,0,30,88,80,0.002,0.0041,0.0048,0.0056,23,24,24,25
135,Las Vegas,NV,36.083,-115.15,30,46,106,91,0.0048,0.0054,0.0059,0.0062,31,28,25,25
136,Reno,NV,39.483,-119.767,13,36,91,84,0.0033,0.0055,0.0053,0.0062,26,26,25,26
137,Tonopah,NV,38.067,-117.083,13,36,91,82,0.0022,0.0049,0.0049,0.006,24,25,24,25
138,Winnemucca,NV,40.9,-117.8,7,34,95,86,0.0025,0.0041,0.005,0.0056,26,25,24,25
139,Albany,NY,42.75,-73.8,-2,31,86,79,0.0119,0.0112,0.0088,0.0085,34,31,28,28
140,Binghamton,NY,42.2,-75.983,2,30,82,78,0.0114,0.0125,0.0085,0.009,32,32,28,29
141,Buffalo,NY,42.933,-78.733,5,32,84,78,0.0123,0.012,0.0089,0.0088,34,32,29,28
142,Massena,NY,44.933,-74.85,-10,27,84,79,0.0123,0.012,0.0089,0.0088,34,32,29,28
143,N.Y. Central,NY,40.783,-73.967,15,38,88,78,0.0129,0.0128,0.0092,0.0091,35,33,29,29
144,N.Y. LA Guardia,NY,40.783,-73.883,17,38,90,80,0.014,0.0127,0.0096,0.0091,37,33,29,29
145,Rochester,NY,43.117,-77.683,5,31,86,80,0.0133,0.0131,0.0093,0.0092,35,34,29,29
146,Syracuse,NY,43.117,-76.1,2,31,86,79,0.0133,0.0124,0.0093,0.009,35,32,29,29
147,Akron,OH,40.917,-81.433,5,33,86,79,0.0133,0.013,0.0093,0.0092,35,33,29,29
148,Cincinnatti,OH,39.1,-84.417,12,36,90,80,0.0155,0.0122,0.0102,0.0089,39,33,30,28
149,Cleveland,OH,41.4,-81.85,6,34,86,80,0.0133,0.0124,0.0093,0.009,35,33,29,29
150,Columbus,OH,39.983,-82.883,6,35,88,80,0.0144,0.013,0.0098,0.0092,37,34,29,29
151,Dayton,OH,39.9,-84.217,5,34,88,79,0.0144,0.0123,0.0098,0.0089,37,32,29,28
152,Toledo,OH,41.583,-83.8,3,32,88,80,0.0129,0.0138,0.0092,0.0095,35,34,29,29
153,Youngstown,OH,41.25,-80.667,4,32,84,79,0.0123,0.012,0.0089,0.0088,34,32,29,28
154,Oklahoma ,OK,35.417,-97.383,15,38,97,84,0.0138,0.0135,0.0095,0.0094,39,35,29,29
155,Tulsa,OK,36.2,-95.883,14,38,97,84,0.0138,0.0145,0.0095,0.0098,39,36,29,29
156,Astoria,OR,46.15,-123.883,29,46,72,72,0.0101,0.0099,0.008,0.008,28,30,28,27
157,Medford,OR,42.19,-122.7,24,41,95,84,0.0072,0.0078,0.0069,0.0071,31,29,26,27
158,NorthBend,OR,43.417,-124.25,32,48,70,70,0.0093,0.0101,0.0077,0.008,27,28,27,28
159,Pendleton,OR,45.7,-118.833,11,39,93,84,0.0052,0.0062,0.0061,0.0065,28,27,25,26
160,Portland,OR,45.6,-122.617,27,45,86,80,0.0092,0.0091,0.0077,0.0076,31,29,27,27
161,Redmond,OR,44.25,-121.167,9,37,90,83,0.0048,0.0061,0.0059,0.0064,27,27,25,26
162,Salem,OR,44.9,-123,25,44,88,81,0.0088,0.0082,0.0075,0.0073,31,28,27,27
163,Allentown,PA,40.65,-75.45,10,34,88,79,0.0129,0.0124,0.0092,0.0089,35,32,29,29
164,Erie,PA,42.083,-80.183,7,33,82,77,0.0127,0.0129,0.0091,0.0091,34,33,29,29
165,Harrisburg,PA,40.217,-76.85,13,36,90,81,0.014,0.0124,0.0096,0.0089,37,33,29,29
166,Philadelphia,PA,39.867,-75.233,15,37,90,81,0.014,0.013,0.0096,0.0092,37,34,29,29
167,Pittsburg,PA,40.5,-80.233,11,33,88,78,0.0115,0.0118,0.0086,0.0087,34,32,28,28
168,Providence,RI,41.717,-71.433,10,35,86,79,0.0133,0.0121,0.0093,0.0088,35,32,29,28
169,Charleston,SC,32.9,-80.033,28,46,91,81,0.0167,0.0158,0.0107,0.0103,40,37,30,30
170,Greenville,SC,34.85,-82.35,23,42,91,80,0.0136,0.0137,0.0094,0.0095,37,34,29,29
171,Columbia,SC,33.95,-81.117,24,43,93,83,0.0147,0.0141,0.0099,0.0097,39,35,30,29
172,Huron,SD,44.4,-98.217,-12,22,91,83,0.0121,0.0125,0.0088,0.009,35,34,28,29
173,Pierre,SD,44.383,-100.283,-9,26,95,84,0.0098,0.0113,0.0079,0.0085,34,33,27,28
174,Rapid City,SD,44.05,-103.05,-5,29,91,83,0.0068,0.0091,0.0067,0.0076,29,30,26,27
175,Sioux Falls,SD,43.583,-96.75,-11,26,90,82,0.0125,0.013,0.009,0.0092,35,34,29,29
176,Chattanooga,TN,35.033,-85.2,20,40,91,82,0.0151,0.0151,0.01,0.01,39,36,30,30
177,Knoxville,TN,35.817,-83.983,19,39,90,81,0.014,0.0141,0.0096,0.0096,37,35,29,29
178,Memphis,TN,35.067,-89.983,21,41,93,82,0.0163,0.0149,0.0105,0.01,40,36,30,30
179,Nashville,TN,36.117,-86.683,16,40,91,81,0.0151,0.0141,0.01,0.0096,39,35,30,29
180,Abilene,TX,32.47,-99.71,22,42,97,85,0.0108,0.0125,0.0083,0.009,35,34,28,29
181,Amarillo,TX,34.99,-101.9,12,37,93,84,0.0076,0.0105,0.007,0.0082,31,32,26,28
182,Austin,TX,30.29,-97.74,30,47,97,85,0.0123,0.0147,0.0089,0.0099,37,36,28,30
183,Brownsville,TX,25.9,-97.433,40,51,93,82,0.0163,0.0166,0.0105,0.0106,40,38,30,30
184,Corpus Christie,TX,27.88,-97.63,36,50,93,83,0.0163,0.017,0.0105,0.0108,40,39,30,31
185,DelRio,TX,29.38,-100.91,32,47,99,84,0.0119,0.0135,0.0088,0.0094,37,35,28,29
186,ElPaso,TX,31.77,-106.5,25,44,99,85,0.0051,0.0076,0.0061,0.007,29,29,25,26
187,Fort Worth,TX,32.767,-97.45,24,44,97,85,0.0138,0.0137,0.0095,0.0095,39,36,29,29
188,Houston,TX,30,-95.367,34,49,93,83,0.0163,0.016,0.0105,0.0104,40,37,30,30
189,Kingsville,TX,27.5,-97.817,36,50,97,84,0.0155,0.0169,0.0102,0.0108,40,39,30,31
190,Laredo,TX,27.57,-99.49,36,51,100,87,0.0115,0.0142,0.0086,0.0097,37,36,28,29
191,Lubbock,TX,33.667,-101.817,17,39,95,85,0.0085,0.0103,0.0074,0.0081,32,32,27,28
192,Lufkin,TX,31.233,-94.75,27,45,95,84,0.0159,0.0161,0.0103,0.0104,40,38,30,30
193,Midland,TX,31.95,-102.183,22,43,97,84,0.0068,0.0105,0.0067,0.0082,31,32,26,28
194,Port Arthur,TX,29.95,-94.017,32,49,93,82,0.018,0.0169,0.0112,0.0107,42,38,31,30
195,San Angelo,TX,31.35,-100.5,24,43,97,85,0.0094,0.0118,0.0078,0.0087,34,33,27,28
196,San Antonio,TX,29.533,-98.467,30,47,95,84,0.0127,0.0146,0.0091,0.0098,37,36,29,29
197,Waco,TX,31.617,-97.233,26,44,99,85,0.0134,0.0145,0.0094,0.0098,39,36,29,29
198,Wichita Falls,TX,33.983,-98.5,19,40,100,87,0.0115,0.014,0.0086,0.0096,37,36,28,29
199,Cedar City,UT,37.7,-113.1,8,34,91,82,0.0033,0.0059,0.0053,0.0063,26,26,25,26
200,SaltLakeCity,UT,40.77,-111.97,11,35,95,86,0.0025,0.0061,0.005,0.0064,26,27,24,26
201,Norfolk,VA,36.9,-76.2,24,42,91,81,0.0056,0.0146,0.0062,0.0098,28,36,26,30
202,Richmond,VA,37.517,-77.317,18,40,91,81,0.0151,0.014,0.01,0.0096,39,35,30,29
203,Roanoke,VA,37.317,-79.967,17,39,90,81,0.0155,0.0128,0.0102,0.0091,39,33,30,29
204,Burlington,VT,44.467,-73.15,-6,28,84,78,0.0137,0.0113,0.0095,0.0085,35,31,29,28
205,Olympia,WA,46.967,-122.9,23,43,82,79,0.0127,0.0082,0.0091,0.0073,34,28,29,27
206,Seattle,WA,47.467,-122.317,28,44,81,78,0.0092,0.0084,0.0077,0.0074,29,28,27,27
207,Spokane,WA,47.49,-117.589,7,36,90,81,0.0048,0.0062,0.0059,0.0065,27,26,25,26
208,Yakima,WA,46.567,-120.55,11,37,91,83,0.0068,0.0068,0.0067,0.0067,29,27,26,26
209,EauClair,WI,44.867,-91.483,-13,24,88,81,0.0129,0.0134,0.0092,0.0094,35,34,29,29
210,GreenBay,WI,44.483,-88.133,-7,27,86,79,0.0133,0.0129,0.0093,0.0092,35,33,29,29
211,LaCrosse,WI,43.867,-91.25,-8,29,88,81,0.0144,0.0131,0.0098,0.0092,37,34,29,29
212,Madison,WI,43.13,-89.33,-6,28,88,79,0.0129,0.0123,0.0092,0.0089,35,33,29,28
213,Milwaukee,WI,42.95,-87.9,-2,31,86,79,0.0133,0.013,0.0093,0.0092,35,33,29,29
214,Charleston,WV,38.383,-81.583,11,37,88,81,0.0144,0.0127,0.0098,0.0091,37,33,29,29
215,Huntington,WV,38.383,-82.55,11,37,88,80,0.0144,0.0134,0.0098,0.0093,37,34,29,29
216,Casper,WY,42.9,-106.467,-5,30,90,82,0.0026,0.0054,0.0051,0.0062,24,26,24,25
217,Cheyenne,WY,41.15,-104.8,0,32,84,80,0.0038,0.0069,0.0055,0.0068,24,27,25,26
218,Rock Springs,WY,41.46,-109.44,-2,29,84,79,0.0018,0.0043,0.0047,0.0057,22,24,24,25
219,Sheridan,WY,44.767,-106.967,-7,30,90,82,0.0048,0.0081,0.0059,0.0072,27,28,25,27
220,Edmonton,AB,53.55,-113.49,-23,21,78,76,0.008,0.0082,0.0072,0.0073,27,27,27,27
221,Montreal,PQ,45.5,-73.57,-8,27,83,77,0.0126,0.0124,0.009,0.009,34,32,29,29
222,Vancouver,BC,49.28,123.12,23,44,74,73,0.0103,0.0104,0.0081,0.0082,29,29,28,28
223,Toronto,ON,43.65,-79.38,1,26,84,78,0.0123,0.0126,0.0089,0.009,34,33,28,29
224,Winnipeg,MN,49.9,-97.14,-24,16,84,79,0.0104,0.0092,0.0082,0.0077,32,29,28,27