Boundary Name,Boundary Type,Finish Type,Construction Type,Insulation Details,Received From,Assembly R Value
Adjacent Attic Wall,Standard,,,,res3.1_national_300 - bldg0000145,2.639702464
Adjacent Ceiling,Standard,,,,res3.1_national_300 - bldg0000007,0.569908662
Adjacent Floor,Standard,,,,res3.1_national_300 - bldg0000007,0.259981685
Adjacent Foundation Wall,Crawlspace,,Crawlspace,,res3.1_national_300 - bldg0000145,0.639846743
Adjacent Foundation Wall,Finished Basement,,Finished Basement,,res3.1_ochre_500 - bldg0000029,1.089827255
Adjacent Foundation Wall,Unfinished Basement,,Unfinished Basement,,res3.1_national_300 - bldg0000060,0.639846743
Adjacent Rim Joist,Standard,,,,res3.1_national_300 - bldg0000060,2.639702464
Adjacent Wall,ConcreteMasonryUnit,,ConcreteMasonryUnit,,res3.1_national_300 - bldg0000153,2.639702464
Adjacent Wall,StructuralBrick,,StructuralBrick,,res3.1_national_300 - bldg0000021,2.639702464
Adjacent Wall,WoodStud,,WoodStud,,res3.1_national_300 - bldg0000007,2.639702464
Attic Floor,Minimal,,,Minimal,Fully_minimal (Denver),498.3762296
Attic Floor,R-13,,,R-13,res3.1_national_300 - bldg0000003,13.06789413
Attic Floor,R-19,,,R-19,res3.1_national_300 - bldg0000010,19.06648758
Attic Floor,R-30,,,R-30,res3.1_national_300 - bldg0000002,30.05823187
Attic Floor,R-38,,,R-38,res3.1_national_300 - bldg0000005,38.05630027
Attic Floor,R-49,,,R-49,res3.1_national_300 - bldg0000011,49.07519447
Attic Floor,R-60,,,R-60,res3.1_ochre_500 - bldg0000046,60.05923419
Attic Floor,R-7,,,R-7,res3.1_national_300 - bldg0000042,7.168286832
Attic Floor,Uninsulated,,,Uninsulated,res3.1_national_300 - bldg0000036,0.569908662
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched",asphalt or fiberglass shingles,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000002,1.389623103
Attic Roof,"asphalt or fiberglass shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",asphalt or fiberglass shingles,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000010,1.389623103
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched",metal surfacing,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000015,1.389623103
Attic Roof,"metal surfacing, Unfinished, Uninsulated, Pitched, Radiant Barrier",metal surfacing,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000004,1.389623103
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched",slate or tile shingles,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000013,1.389623103
Attic Roof,"slate or tile shingles, Unfinished, Uninsulated, Pitched, Radiant Barrier",slate or tile shingles,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000023,1.389623103
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched",wood shingles or shakes,Pitched,"Unfinished, Uninsulated",res3.1_national_300 - bldg0000005,1.389623103
Attic Roof,"wood shingles or shakes, Unfinished, Uninsulated, Pitched, Radiant Barrier",wood shingles or shakes,"Pitched, Radiant Barrier","Unfinished, Uninsulated",res3.1_ochre_500 - bldg0000239,1.389623103
Attic Wall,Minimal,,,Minimal,Copied from Minimal Exterior Wall,499.0433946
Attic Wall,"WoodStud, aluminum siding, Est. R-3.1",aluminum siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000091,3.123212321
Attic Wall,"WoodStud, asbestos siding, Est. R-3.1",asbestos siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000034,3.123212321
Attic Wall,"WoodStud, brick veneer, Est. R-3.1",brick veneer,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000011,3.123212321
Attic Wall,"WoodStud, composite shingle siding, Est. R-3.1",composite shingle siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000102,3.123212321
Attic Wall,"WoodStud, fiber cement siding, Est. R-3.1",fiber cement siding,WoodStud,Est. R-3.1,res3.1_ochre_500 - bldg0000026,3.123212321
Attic Wall,"WoodStud, stucco, Est. R-3.1",stucco,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000010,3.123212321
Attic Wall,"WoodStud, vinyl siding, Est. R-3.1",vinyl siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000006,3.123212321
Attic Wall,"WoodStud, wood siding, Est. R-3.1",wood siding,WoodStud,Est. R-3.1,res3.1_national_300 - bldg0000002,3.123212321
Door,R-2.1,,,R-2.1,res3.1_ochre_500 - bldg0000003,1.222652885
Door,R-5.0,,,R-5.0,res3.1_national_300 - bldg0000002,4.12345679
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-11",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000066,12.11953042
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-15",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000145,14.72128597
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-19",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000141,17.1178776
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, R-7",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000259,9.121285141
Exterior Wall,"ConcreteMasonryUnit, aluminum siding, 6-in Hollow, Uninsulated",aluminum siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000085,3.723278689
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-11",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000027,12.11953042
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-15",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000103,14.72128597
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-19",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000365,17.1178776
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, R-7",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000139,9.121285141
Exterior Wall,"ConcreteMasonryUnit, asbestos siding, 6-in Hollow, Uninsulated",asbestos siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000048,3.723278689
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-11",brick veneer,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_national_300 - bldg0000153,12.2212656
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-15",brick veneer,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000024,14.82119551
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",brick veneer,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000153,17.22171671
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",brick veneer,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000169,9.220526145
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",brick veneer,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000055,3.820995962
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",composite shingle siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000363,12.11953042
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",composite shingle siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000010,14.72128597
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",composite shingle siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000252,17.1178776
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-7",composite shingle siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000217,9.121285141
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",composite shingle siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000488,3.723278689
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",fiber cement siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000163,11.72171759
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",fiber cement siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000202,14.32030265
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",fiber cement siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000070,16.7196702
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",fiber cement siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000026,8.720626632
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, Uninsulated",fiber cement siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_ochre_500 - bldg0000300,3.322410767
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",none,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_national_300 - bldg0000094,11.51957801
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-15",none,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000189,14.12086546
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-19",none,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000168,16.52022112
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",none,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000073,8.521686928
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, Uninsulated",none,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000158,3.123212321
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",stucco,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_national_300 - bldg0000070,11.72171759
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",stucco,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000221,14.32030265
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",stucco,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000027,16.7196702
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",stucco,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_national_300 - bldg0000053,8.720626632
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",stucco,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000169,3.322410767
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000376,12.11953042
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000023,14.72128597
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000087,17.1178776
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-7",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000346,9.121285141
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, Uninsulated",vinyl siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000082,3.723278689
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-11",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-11",res3.1_ochre_500 - bldg0000016,12.91922639
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-15",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-15",res3.1_ochre_500 - bldg0000039,15.51790107
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-19",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-19",res3.1_ochre_500 - bldg0000118,17.91732408
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, R-7",wood siding,ConcreteMasonryUnit,"6-in Hollow, R-7",res3.1_ochre_500 - bldg0000199,9.921369911
Exterior Wall,"ConcreteMasonryUnit, wood siding, 6-in Hollow, Uninsulated",wood siding,ConcreteMasonryUnit,"6-in Hollow, Uninsulated",res3.1_national_300 - bldg0000260,4.520700637
Exterior Wall,Minimal,,,Minimal,Fully_minimal (Denver),499.0433946
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-11",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000326,13.01994955
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-15",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000071,15.62035763
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-19",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000015,18.01967629
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, R-7",aluminum siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000072,10.02117896
Exterior Wall,"StructuralBrick, aluminum siding, 12-in, 3-wythe, Uninsulated",aluminum siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000117,4.623778502
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-11",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000067,13.01994955
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-15",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000088,15.62035763
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-19",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000029,18.01967629
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, R-7",asbestos siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000138,10.02117896
Exterior Wall,"StructuralBrick, asbestos siding, 12-in, 3-wythe, Uninsulated",asbestos siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000082,4.623778502
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-11",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000160,13.01994955
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-15",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000019,15.62035763
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-19",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000005,18.01967629
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, R-7",composite shingle siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000255,10.02117896
Exterior Wall,"StructuralBrick, composite shingle siding, 12-in, 3-wythe, Uninsulated",composite shingle siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000254,4.623778502
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-11",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000020,12.62058235
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-15",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000129,15.2184401
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-19",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-19",MF_300 - bldg0000034,17.6171269
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, R-7",fiber cement siding,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000284,9.620467638
Exterior Wall,"StructuralBrick, fiber cement siding, 12-in, 3-wythe, Uninsulated",fiber cement siding,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_ochre_500 - bldg0000007,4.221561338
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-11",none,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_national_300 - bldg0000034,12.42178954
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-15",none,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000049,15.02116402
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",none,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_national_300 - bldg0000280,17.41717791
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, R-7",none,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_national_300 - bldg0000009,9.420939107
Exterior Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",none,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000023,4.021246459
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",stucco,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_national_300 - bldg0000013,12.62058235
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-15",stucco,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_national_300 - bldg0000279,15.2184401
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-19",stucco,StructuralBrick,"12-in, 3-wythe, R-19",res3.1_ochre_500 - bldg0000035,17.6171269
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",stucco,StructuralBrick,"12-in, 3-wythe, R-7",res3.1_ochre_500 - bldg0000215,9.620467638
Exterior Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",stucco,StructuralBrick,"12-in, 3-wythe, Uninsulated",res3.1_national_300 - bldg0000033,4.221561338
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-11",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-11",res3.1_ochre_500 - bldg0000496,13.01994955
Exterior Wall,"StructuralBrick, vinyl siding, 12-in, 3-wythe, R-15",vinyl siding,StructuralBrick,"12-in, 3-wythe, R-15",res3.1_ochre_500 - bldg0000014,15.62035763
